"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "Functional_group" "Ascoma_type" "Ascoma_development" "Ascus_dehiscence" "C_perct" "N_perct" "P_perct" "C.N_perct" "C.P_perct" "N.P_perct" "Sporocarp_N_perct" "Melanin_content_mg.g" "Spore_width_μm" "Spore_length_μm" "Spore_size_μm3" "Fruiting_body_size_mm2" "Fos" "Ter" "Aqu" "Arb" "Aer" "Substrate" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Acanthonitschkea tristis" "InfoSpecies" "Fungi" "Acanthonitschkea tristis (J.Kickx f.) Nannf." "SPECIES" "INN" NA "NE" NA "Acanthonitschkea" "Nitschkiaceae" "Coronophorales" "Sordariomycetes" "Ascomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 "above_litter" NA "NO"
"Acanthophiobolus helicosporus" "InfoSpecies" "Fungi" "Acanthophiobolus helicosporus (Berk. & Broome) J.Walker" "SPECIES" "INN" NA "NE" NA "Acanthophiobolus" "Tubeufiaceae" "Tubeufiales" "Dothideomycetes" "Ascomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 "above_litter" NA "NO"
"Acanthophysellum minor" "InfoSpecies" "Fungi" "Acanthophysellum minor (Pilát) Sheng H.Wu, Boidin & C.Y.Chien" "SPECIES" NA NA "NE" NA "Acanthophysellum" "Stereaceae" "Russulales" "Agaricomycetes" "Basidiomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 1 0 "wood" NA "NO"
"Acanthophysium minor" "InfoSpecies" "Fungi" "Acanthophysellum minor (Pilát) Sheng H.Wu, Boidin & C.Y.Chien" "SPECIES" "INN" NA "NE" NA "Acanthophysellum" "Stereaceae" "Russulales" "Agaricomycetes" "Basidiomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Acanthostigma revocatum" "InfoSpecies" "Fungi" "Acanthostigma revocatum Sacc." "SPECIES" NA NA "NE" NA "Acanthostigma" "Tubeufiaceae" "Tubeufiales" "Dothideomycetes" "Ascomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 1 0 "wood" NA "NO"
"Achroomyces disciformis" "SPEED2ZERO" "Fungi" "Platygloea disciformis (Fr.) Neuhoff" "SPECIES" "INN" NA "NE" NA "Platygloea" "Platygloeaceae" "Platygloeales" "Pucciniomycetes" "Basidiomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 1 0 "wood" NA "NO"
"Achroomyces effusus" "InfoSpecies" "Fungi" "Colacogloea effusa (J.Schröt.) Malysheva, Schoutteten & Spirin" "SPECIES" "INN" NA "DD" NA "Colacogloea" "Colacogloeaceae" "Platygloeales" "Microbotryomycetes" "Basidiomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 "fungi" NA "NO"
"Achroomyces insignis" "InfoSpecies" "Fungi" "Achroomyces insignis Hauerslev" "SPECIES" NA NA "NE" NA "Achroomyces" "Platygloeaceae" "Platygloeales" "Pucciniomycetes" "Basidiomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 "fungi" NA "NO"
"Achroomyces microsporus" "InfoSpecies" "Fungi" "Cystobasidium sebaceum G.W.Martin" "SPECIES" "INN" NA "NE" NA "Cystobasidium" "Cystobasidiaceae" "Cystobasidiales" "Cystobasidiomycetes" "Basidiomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 1 0 "wood" NA "NO"
"Achroomyces peniophorae" "InfoSpecies" "Fungi" "Colacogloea peniophorae (Bourdot & Galzin) Oberw., R.Bauer & Bandoni" "SPECIES" "INN" NA "DD" NA "Colacogloea" "Colacogloeaceae" "Platygloeales" "Microbotryomycetes" "Basidiomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 "fungi" NA "NO"
"Achroomyces robertsii" "InfoSpecies" "Fungi" "Achroomyces robertsii Trichies" "SPECIES" "INN" NA "NE" NA "Achroomyces" "Platygloeaceae" "Platygloeales" "Pucciniomycetes" "Basidiomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 "fungi" NA "NO"
"Achroomyces sebaceus" "InfoSpecies" "Fungi" "Naohidea sebacea (Berk. & Broome) Oberw." "SPECIES" "INN" NA "DD" NA "Naohidea" "Naohideaceae" "Naohideales" "Cystobasidiomycetes" "Basidiomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 "fungi" NA "NO"
"Acremonium alternatum" "InfoSpecies" "Fungi" "Acremonium alternatum Link" "SPECIES" "INN" NA "NE" NA "Acremonium" "Bionectriaceae" "Hypocreales" "Sordariomycetes" "Ascomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Acremonium hypholomatis" "InfoSpecies" "Fungi" "Acremonium hypholomatis (Boedijn) D.Hawksw." "SPECIES" "INN" NA "NE" NA "Acremonium" "Bionectriaceae" "Hypocreales" "Sordariomycetes" "Ascomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "lichenicolous_fungus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 1 0 "mosses_lichens" NA "NO"
"Acremonium pertusariae" "InfoSpecies" "Fungi" "Acremonium pertusariae Brackel & Etayo" "SPECIES" "INN" NA "NE" NA "Acremonium" "Bionectriaceae" "Hypocreales" "Sordariomycetes" "Ascomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "lichenicolous_fungus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 1 0 "mosses_lichens" NA "NO"
