"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "BodyLength_max" "BEl" "VEp" "REs" "OGp" "RMl" "BLs" "PFv" "PFs" "CPt" "Litter_size" "CAT_Litter_size" "Age_at_maturity_y" "CAT_Age_at_maturity_y" "Longevity_max_y" "CAT_Longevity_max_y" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Eggs" "Diet_Scav" "Diet_Phyto" "Diet_Plant" "Diet_Parasit" "Diet_Other" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat" "Feeding_habitat" "Reprod_habitat" "Spawning_habitat" "Flow_habitat" "Salt_habitat" "MinTemp" "MaxTemp" "Migration_type" "Migration_dist" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Alburnus albidus" "EEA" "Fishes" "Alburnus albidus (Costa, 1838)" "SPECIES" NA "Yes" NA "VULNERABLE" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 200 3.399537805 0.580208499 0.480494606 0.525608122 0.313874884 0.403177451 0.385706012 0.1680655 3.119769486 6811 "fe2" 2.5 "ma2" 5.5 "ls1" "Omnivorous" 1 1 1 0 0 0 0 0 0 0 1 0 0 "pelagic" "wc" "spel" "eury" "limno" "fre" -9.3 28.6 "pot" "short" 50579.2558514203 "NO"
"Alburnus alborella" "InfoSpecies" "Fishes" "Alburnus arborella (Bonaparte, 1841)" "SPECIES" NA NA NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 120 2.148928303 0.434843096 0.614438664 0.464434835 0.196335259 0.425623786 0.196460894 0.153977675 1.635899249 6811 "fe1" 2 "ma1" 6 "ls1" "Omnivorous" 1 1 1 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "pel" "rheo" "limno" "fre" -7.7 32 "pot" "short" 173096.493038812 "NO"
"Alburnus alburnus" "SPEED2ZERO" "Fishes" "Alburnus alburnus (Linnaeus, 1758)" "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 250 4.253526855 0.559971056 0.540985824 0.559971056 0.441100168 0.429576461 0.2766026 0.152191702 1.942321838 6811 "fe2" 3 "ma2" 5.5 "ls1" "Omnivorous" 1 1 1 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "phylith" "eury" "eury" "frb" -7.7 32 "pot" "short" 7213077.00336118 "NO"
"Alburnus arborella" "SPEED2ZERO" "Fishes" "Alburnus arborella (Bonaparte, 1841)" "SPECIES" "INN" NA "CR" "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 127 4.088881818 0.354663636 0.611174997 0.381927273 0.458499322 0.442709091 0.145736364 0.162780667 2.158013913 250 "fe1" 1.5 "ma4" 6 "ls2" "Omnivorous" 1 1 1 0 0 0 0 0 0 0 1 0 0 "pelagic" "wc" "lith" "rheo" "rheo" "fre" -9.3 28.6 "pot" "short" 129721.996692659 "NO"
"Alburnus belvica" "EEA" "Fishes" "Alburnus belvica Karaman, 1924" "SPECIES" NA "Yes" NA "VULNERABLE" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 220 4.03104469 0.637553245 0.614438664 0.6943181 0.337188803 0.419771136 0.340625226 0.168893506 3.368282123 6811 "fe1" 2 "ma2" 15 "ls1" "Omnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "bentic" "wc" "spel" "eury" "limno" "frb" -9.3 32 "pot" "short" 318.662821025835 "NO"
"Alburnus chalcoides" "EEA" "Fishes" "Alburnus chalcoides (Güldenstädt, 1772)" "SPECIES" NA "No" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 400 4.304443236 0.516448787 0.499901961 0.555920251 0.568627451 0.478271471 0.328975749 0.142962963 2.427996763 250 "fe1" 1.5 "ma1" 5 "ls1" "Omnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "limno" "frb" -7.4 32 "pot" "medium" 627072.093379888 "NO"
"Alburnus hohenackeri" "EEA" "Fishes" "Alburnus hohenackeri Kessler, 1877" "SPECIES" NA "No" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 110 3.8684665 0.517395969 0.614438664 0.459201629 0.425548547 0.503628174 0.25614737 0.17880226 2.195897608 6811 "fe1" 3 "ma1" 6 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "phylith" "eury" "eury" "fre" -7.7 32 "nom" "short" 283365.560984887 "NO"
"Alburnus istanbulensis" "EEA" "Fishes" "Alburnus istanbulensis Battalgil, 1941" "SPECIES" NA "No" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 4.069680727 0.579225754 0.550913043 0.50286397 0.147225851 0.546883987 0.292601064 0.178656382 1.975609756 6811 "fe1" 2.5 "ma2" 15 "ls1" "Omnivorous" 1 1 1 0 0 0 0 0 0 0 1 0 0 "pelagic" "wc" "phylith" "eury" "limno" "fre" -7.4 32 "nom" "short" 21055.0162189399 "NO"
"Alburnus leobergi" "EEA" "Fishes" "Alburnus leobergi Freyhof & Kottelat, 2007" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 120 4.256032317 0.434414978 0.509007617 0.307718934 0.370692614 0.460556936 0.309583333 0.195523875 2.132923063 350 "fe1" 1.5 "ma2" 7 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "ben" "lith" "rheo" "rheo" "fre" -7.7 32 "pot" "short" 169942.314930748 "NO"
"Alburnus macedonicus" "EEA" "Fishes" "Alburnus macedonicus Karaman, 1928" "SPECIES" NA "Yes" NA "CRITICALLY_ENDANGERED" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 270 3.572677392 0.570893773 0.564294843 0.51860754 0.394619718 0.30865788 0.392029617 0.194460833 3.632745098 250 "fe1" 2.5 "ma4" 5 "ls2" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "pelagic" "wc" "lith" "rheo" "limno" "fre" -7.4 32 "pot" "short" 42.0671580095062 "NO"
