"AMPHIBIANS","BIRDS","BEES","BRYOPHYTES","BEETLES","MAY-STONE-CADDISFLIES","FISHES","FUNGI","BUTTERFLIES","LICHENS","MAMMALS","MOLLUSCS","DRAGONFLIES","GRASSHOPPERS","VASCULAR_PLANTS","REPTILES","SPIDERS"
"_","MajorHabitat_14","_","HABsb_2.1","_","Emergence_length","_","_","_","ASCP_PigmentCol11","MajorHabitat_13","Diet_moss","WPCol_brown","Elev_Planar","HABfi_4.2","MajorHabitat_15","_"
"_","MajorHabitat_15","_","HABsb_2.1.2","_","Geo_range","_","_","_","ASCP_PigmentCol12","MajorHabitat_14","Diet_algae","WPCol_iredesc","Elev_Colline","HABfi_5.1","MajorHabitat_16","_"
"_","MajorHabitat_16","_","HABsb_2.2","_","_","_","_","_","ASCP_Septa","MajorHabitat_15","Diet_plant","WPCol_orange","Elev_Montane","HABfi_5.2","MajorHabitat_17","_"
"_","MajorHabitat_17","_","HABsb_2.2.2","_","_","_","_","_","ASCP_Septa_type1","MajorHabitat_16","Diet_alive","WPCol_prunesc","Elev_Subalpine","HABfi_6.1","MajorHabitatSum","_"
"_","MajorHabitatSum","_","HABsb_2.2.3","_","_","_","_","_","ASCP_Septa_type2","MajorHabitat_17","Diet_scav","WPCol_red","Elev_Alpine","HABfi_6.2","PropUrbanArea","_"
"_","PropCroplandArea","_","HABsb_2.2.5","_","_","_","_","_","ASCP_Perispore_type1","MajorHabitatSum","Diet_carniv","WPCol_yellow","_","HABfi_6.3","PropCroplandArea","_"
"_","AnnuMeanTemp","_","HABsb_2.3","_","_","_","_","_","ASCP_Perispore_type2","PropUrbanArea","Fos","Diet","_","HABfi_6.4","PropPastureArea","_"
"_","TempSeasonality","_","HABsb_2.4","_","_","_","_","_","ASCP_Perispore_type3","PropCroplandArea","Ter","Ter","_","HABfi_6.5","PropRangeLandArea","_"
"_","Beak_Length_Culmen","_","HABsb_2.4.1","_","_","_","_","_","ASCP_Perispore_type4","PropPastureArea","Aqu","Aqu","_","HABfi_6.6","AnnuPrecip","_"
"_","Beak_Length_Nares","_","HABsb_2.5","_","_","_","_","_","ASCP_Perispore_type5","PropRangeLandArea","Arb","Aer","_","HABfi_6.7","TempSeasonality","_"
"_","Beak_Width","_","HABsb_2.5.1","_","_","_","_","_","PPhotobiont","AnnuMeanTemp","Aer","HAB_Ephemeral","_","HABfi_7.1","Elevation","_"
"_","Beak_Depth","_","HABsb_3","_","_","_","_","_","SPhotobiont","AnnuPrecip","EIV_Moisture","HAB_Lake","_","HABfi_7.2","RangeSize_km2","_"
"_","Tarsus_Length","_","HABsb_3.2","_","_","_","_","_","PPhotobiont_type1","TempSeasonality","Elev_Planar","HAB_Pond","_","HABfi_7.3","Venomous","_"
"_","Wing_Length","_","HABsb_3.2.1","_","_","_","_","_","PPhotobiont_type2","PrecipSeasonality","Elev_Colline","HAB_River","_","HABfi_7.4","Shape_pupil","_"
"_","Kipps_Distance","_","HABsb_3.2.2","_","_","_","_","_","PPhotobiont_type3","Elevation","Elev_Montane","HAB_Stream","_","HABfi_7.5","Fangs","_"
"_","Secondary1","_","HABsb_3.3","_","_","_","_","_","Fos","RangeSize_km2","Elev_Subalpine","HAB_Wetland","_","HABfi_7.6","Sex_determinism","_"
"_","Hand_Wing_Index","_","HABsb_3.3.1","_","_","_","_","_","Ter","Foraging_strata","Elev_Alpine","LARVA_Stillwater","_","HABfi_8.1","_","_"
"_","Tail_Length","_","HABsb_3.3.2","_","_","_","_","_","Aqu","_","_","LARVA_Watercourses","_","HABfi_8.2","_","_"
"_","_","_","HABsb_3.4","_","_","_","_","_","Arb","_","_","LARVA_Moor","_","HABfi_9.1","_","_"
"_","_","_","HABsb_3.4.1","_","_","_","_","_","Aer","_","_","Elev_Planar","_","HABfi_9.2","_","_"
"_","_","_","HABsb_3.4.1.2","_","_","_","_","_","HAB_1","_","_","Elev_Colline","_","HABfi_9.2.2","_","_"
"_","_","_","HABsb_3.4.1.3","_","_","_","_","_","HAB_2","_","_","Elev_Montane","_","HABfi_9.3","_","_"
"_","_","_","HABsb_3.4.2","_","_","_","_","_","HAB_3","_","_","Elev_Subalpine","_","HABfi_9.4","_","_"
"_","_","_","HABsb_3.4.2.1","_","_","_","_","_","HAB_4","_","_","Elev_Alpine","_","HABfi_9.5","_","_"
