"","species","genus","family","order","class","phylum","NSDM.group","CH3Div.group","NSDM.scheme","CH3Div.scheme","Dispersal_km"
"2531","Erebia montana","Erebia","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.9242
"2532","Erebia nivalis","Erebia","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.7273
"2533","Erebia oeme","Erebia","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.0632
"2534","Erebia pandrose","Erebia","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.0392
"2535","Erebia pharte","Erebia","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.4606
"2536","Erebia pluto","Erebia","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.7625
"2537","Erebia pronoe","Erebia","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.7232
"2538","Erebia pronoe subsp. psathura","Erebia","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2539","Erebia styx","Callerebia","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.0953
"2540","Erebia sudetica","Erebia","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.8036
"2541","Erebia triarius","Erebia","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.9794
"2542","Erebia tyndarus","Erebia","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.7321
"2543","Eremodrina gilva","Caradrina","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2564","Eriogaster arbusculae","Eriogaster","Lasiocampidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2570","Eriopygodes imbecilla","Lasionycta","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2584","Erynnis tages","Erynnis","Hesperiidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.0555
"2599","Eublemma parva","Eublemma","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2600","Eucarta virgo subsp. spencei","Eucarta","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2603","Euchalcia variabilis","Euchalcia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2604","Euchloe simplonia","Euchloe","Pieridae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.6536
"2607","Euclidia glyphica","Euclidia","Erebidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2612","Eugnorisma depuncta","Eugnorisma","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2613","Eugraphe sigma","Eugraphe","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2614","Eumedonia eumedon","Eumedonia","Lycaenidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.7414
"2657","Euphydryas aurinia","Euphydryas","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.0358
"2658","Euphydryas aurinia subsp. aurinia","Euphydryas","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.0225
"2659","Euphydryas cynthia","Hypodryas","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.6115
"2660","Euphydryas intermedia","Hypodryas","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.551
"2661","Euplagia quadripunctaria","Euplagia","Erebidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2662","Euplexia lucipara","Euplexia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2663","Euproctis chrysorrhoea","Euproctis","Erebidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2664","Euproctis similis","Euproctis","Erebidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2665","Eupsilia transversa","Eupsilia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2670","Eurois occulta","Eurois","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2672","Eutelia adulatrix","Eutelia","Euteliidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2673","Euthrix potatoria","Euthrix","Lasiocampidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2679","Euxoa aquilina","Euxoa","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2680","Euxoa decora subsp. simulatrix","Euxoa","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2681","Euxoa nigricans","Euxoa","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2682","Euxoa obelisca","Euxoa","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2683","Euxoa recussa","Euxoa","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2700","Fabriciana adippe","Fabriciana","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.6064
"2701","Fabriciana niobe","Fabriciana","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.782
"2705","Falcaria lacertinaria","Falcaria","Drepanidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2712","Favonius quercus","Quercusia","Lycaenidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.8408
"2799","Furcula bicuspis","Furcula","Notodontidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2800","Furcula bifida","Furcula","Notodontidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2801","Furcula furcula","Furcula","Notodontidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2931","Glaucopsyche alexis","Glaucopsyche","Lycaenidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.3753
"2952","Gluphisia crenata","Gluphisia","Notodontidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2977","Gonepteryx rhamni","Gonepteryx","Pieridae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.6239
"2981","Gortyna flavago","Gortyna","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"2988","Graphiphora augur","Graphiphora","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3063","Habrosyne pyritoides","Habrosyne","Drepanidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3064","Hada plebeja","Hada","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3065","Hadena albimacula","Hadena","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3066","Hadena bicruris","Hadena","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3067","Hadena caesia","Hadena","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3068","Hadena compta","Hadena","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3069","Hadena confusa","Hadena","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3070","Hadena irregularis","Hadena","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3071","Hadena luteago","Conisania","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3072","Hadena magnolii","Hadena","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3073","Hadena perplexa","Hadena","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3074","Hadena rivularis","Sideridis","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3075","Hadena tephroleuca","Hadena","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3095","Hamearis lucina","Hamearis","Riodinidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",2.5627
"3121","Harpyia milhauseri","Harpyia","Notodontidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3143","Helicoverpa armigera","Helicoverpa","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3149","Heliophobus kitti","Heliophobus","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3150","Heliophobus reticulata","Sideridis","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3151","Heliothis peltigera","Heliothis","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3152","Heliothis viriplaca","Heliothis","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3169","Hemaris fuciformis","Hemaris","Sphingidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3170","Hemaris tityus","Hemaris","Sphingidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3182","Hepialus humuli","Hepialus","Hepialidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3193","Herminia grisealis","Herminia","Erebidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3194","Herminia tarsicrinalis","Herminia","Erebidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3200","Hesperia comma","Hesperia","Hesperiidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.3348
"3204","Heteropterus morpheus","Heteropterus","Hesperiidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.2591
"3231","Hipparchia fagi","Hipparchia","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.683
"3232","Hipparchia genava","Hipparchia","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.9976
"3233","Hipparchia semele","Hipparchia","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.233
"3234","Hipparchia statilinus","Hipparchia","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.9514
"3269","Hoplodrina ambigua","Hoplodrina","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3270","Hoplodrina blanda","Hoplodrina","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3271","Hoplodrina octogenaria","Hoplodrina","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3272","Hoplodrina respersa","Hoplodrina","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3273","Hoplodrina superstes","Hoplodrina","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3294","Hydraecia micacea","Hydraecia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3392","Hyles euphorbiae","Hyles","Sphingidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3393","Hyles gallii","Hyles","Sphingidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3394","Hyles livornica","Hyles","Sphingidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3395","Hyles vespertilio","Hyles","Sphingidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3404","Hyloicus pinastri","Sphinx","Sphingidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3423","Hypena crassalis","Hypena","Erebidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3424","Hypena obesalis","Hypena","Erebidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3425","Hypena proboscidalis","Hypena","Erebidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3426","Hypena rostralis","Hypena","Erebidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3491","Hyponephele lycaon","Hyponephele","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.4486
"3498","Hyppa rectilinea","Hyppa","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3506","Idia calvaria","Idia","Erebidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3570","Iolana iolas","Iolana","Lycaenidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.2118
"3571","Iphiclides podalirius","Iphiclides","Papilionidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.8375
"3572","Ipimorpha retusa","Ipimorpha","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3573","Ipimorpha subtusa","Ipimorpha","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3595","Issoria lathonia","Issoria","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.0309
"3602","Jodia croceago","Jodia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3603","Jordanita globulariae","Jordanita","Zygaenidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3604","Jordanita notata","Jordanita","Zygaenidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3648","Korscheltellus lupulina","Korscheltellus","Hepialidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3652","Lacanobia aliena","Lacanobia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3653","Lacanobia contigua","Lacanobia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3654","Lacanobia oleracea","Lacanobia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3655","Lacanobia splendens","Lacanobia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3656","Lacanobia suasa","Lacanobia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3657","Lacanobia thalassina","Lacanobia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3742","Lampides boeticus","Lampides","Lycaenidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.3006
"3748","Laothoe populi","Laothoe","Sphingidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3765","Lasiocampa quercus","Lasiocampa","Lasiocampidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3766","Lasiocampa trifolii","Lasiocampa","Lasiocampidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3808","Lasiommata maera","Pararge","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.76045
"3809","Lasiommata megera","Pararge","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.1768
"3810","Lasiommata petropolitana","Pararge","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.6809
"3811","Lasionycta calberlai","Lasionycta","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3812","Lasionycta proxima","Lasionycta","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3815","Laspeyria flexula","Laspeyria","Erebidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3875","Lemonia taraxaci","Lemonia","Brahmaeidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3929","Leptidea juvernica","Leptidea","Pieridae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.9792
"3930","Leptidea sinapis","Leptidea","Pieridae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.0386
"3970","Leucodonta bicoloria","Leucodonta","Notodontidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"3973","Leucoma salicis","Leucoma","Erebidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"4008","Libythea celtis","Libythea","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.1
"4022","Limenitis camilla","Limenitis","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",2.669
"4023","Limenitis populi","Limenitis","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.5251
"4024","Limenitis reducta","Limenitis","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.0416
"4063","Lithophane consocia","Lithophane","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"4064","Lithophane ornitopus","Lithophane","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"4065","Lithophane semibrunnea","Lithophane","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"4066","Lithophane socia","Lithophane","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"4067","Lithosia quadra","Lithosia","Erebidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"4108","Lopinga achine","Pararge","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.0962
"4124","Luperina testacea","Luperina","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"4144","Lycaena alciphron","Lycaena","Lycaenidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.6721
"4145","Lycaena dispar","Lycaena","Lycaenidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.87495
"4146","Lycaena helle","Helleia","Lycaenidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.5013
"4147","Lycaena hippothoe","Lycaena","Lycaenidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.2355
"4148","Lycaena hippothoe subsp. euridice","Palaeochrysophanus","Lycaenidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"4149","Lycaena phlaeas","Lycaena","Lycaenidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.8228
"4150","Lycaena tityrus","Loweia","Lycaenidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.7911
"4151","Lycaena tityrus subsp. subalpinus","Loweia","Lycaenidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"4152","Lycaena virgaureae","Lycaena","Lycaenidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",0.7869
"4163","Lycophotia porphyrea","Lycophotia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"4169","Lygephila craccae","Lygephila","Erebidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"4170","Lygephila lusoria","Lygephila","Erebidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"4171","Lygephila pastinum","Lygephila","Erebidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"4172","Lygephila viciae","Lygephila","Erebidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"4174","Lymantria dispar","Lymantria","Erebidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"4175","Lymantria monacha","Lymantria","Erebidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.45049901980198
"4188","Lysandra bellargus","Lysandra","Lycaenidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",1.169
"4189","Lysandra coridon","Lysandra","Lycaenidae","Lepidoptera","Insecta","Arthropoda","Arthropods (non EPTO)","lepidoptera","terrestrial","terrestrial",2.0573
