"","species","genus","family","order","class","phylum","NSDM.group","CH3Div.group","NSDM.scheme","CH3Div.scheme","Dispersal_km"
"864","Bembidion lunulatum","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.3396
"865","Bembidion mannerheimii","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.6119
"866","Bembidion monticola subsp. monticola","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.396
"867","Bembidion obtusum","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.0316
"868","Bembidion properans","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.0134
"869","Bembidion punctulatum subsp. punctulatum","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.7105
"870","Bembidion pygmaeum","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.9259
"871","Bembidion quadrimaculatum subsp. quadrimaculatum","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.5607
"872","Bembidion testaceum subsp. testaceum","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"873","Bembidion tetracolum subsp. tetracolum","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",3.9402
"874","Bembidion tibiale","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.0473
"875","Bembidion varicolor subsp. varicolor","Bembidion","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.9578
"904","Bitoma crenata","Bitoma","Zopheridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.4127
